Title,Year,Language,Day1_collection_cr,Production Company,Release Date,Genre,Director,Runtime (min)
Nishaanchi,2025,Hindi,0.2,"Jar Pictures, Amazon MGM Studios, Flip Films",19-09-2025,"Action, Drama",Anurag Kashyap,176
Milan Talkies,2019,Hindi,0.15,Filmy Keeda Productions,15-03-2019,Drama,Tigmanshu Dhulia,141
Nazar Andaaz,2022,Hindi,0.001,"T-Series Super Cassettes Industries Ltd., Kathputli Creations",07-10-2022,"Comedy, Drama",Vikrant Deshmukh,103
Luka Chuppi,2019,Hindi,8.01,Maddock Films,01-03-2019,"Comedy, Romance",Laxman Utekar,126
Beiimaan Love,2016,Hindi,0.7,Avanti Films Pvt Ltd.,14-10-2016,"Crime, Drama",Rajeev Chaudhari,120
Sonu Ke Titu Ki Sweety,2018,Hindi,6.42,"Luv Films, T-Series Super Cassettes Industries Ltd.",23-02-2018,"Comedy, Drama",Luv Ranjan,140
Partition: 1947,2017,Hindi,10.43,Reliance Entertainment,18-08-2017,Drama,Gurinder Chadha,106
Kaagaz 2,2024,Hindi,0.02,"The Satish Kaushik Entertainment, Venus Worldwide Entertainment",01-03-2024,"Social, Drama",V.K. Prakash,125
Jia aur Jia,2017,Hindi,2.9,Trilogic Digital Media Limited,27-10-2017,Drama,Howard Rosemeyer,92
The Bengal Files,2025,Hindi,1.5,Abhishek Agarwal Arts,05-09-2025,"Social, Drama",Vivek Agnihotri,204
Tera Intezaar,2017,Hindi,0.5,Bageshree Films,01-12-2017,"Romance, Thriller",Raajeev Walia,108
Ganapath,2023,Hindi,2.2,"Pooja Entertainment India Ltd., Good Co. Production",20-10-2023,"Action, Sports",Vikas Bahl,134
Housefull 4,2019,Hindi,16.5,"Nadiadwala Grandson Entertainment, Fox Star Studios",25-10-2019,"Comedy, Drama",Farhad Samji,146
Double XL,2022,Hindi,0.15,"T-Series Super Cassettes Industries Ltd., Wakaoo Films, Elemen3 Entertainment, Reclining Seats Cinema",04-11-2022,"Comedy, Drama",Satramm Ramani,0
Bad Newz,2024,Hindi,8.62,"Dharma Productions, Leo Media Collective, Amazon Prime Video",19-07-2024,"Comedy, Drama",Anand Tiwari,142
Fanney Khan,2018,Hindi,2.15,"Rakeysh Omprakash Mehra Pictures, T-Series Super Cassettes Industries Ltd.",03-08-2018,"Family, Drama",Atul Manjrekar,129
Mercury,2018,Hindi,0.32,Life To Live Films,13-04-2018,Drama,Karthik Subbaraj,14
Freaky Ali,2016,Hindi,0.1,"Salman Khan Films, Sohail Khan Productions",09-09-2016,Drama,Sohail Khan,120
Ground Zero,2025,Hindi,1.15,Excel Entertainment,25-04-2025,"Action, Patriotic",Tejas Prabha Vijay Deoskar,137
Tipppsy,2024,Hindi,0.08,"Panorama Studios, Alliance Productions India LLP, Raju Chadha Films",10-05-2024,"Thriller, Drama",Deepak Tijori,115
Maidaan,2024,Hindi,7.25,"Zee Studios, Bayview Projects LLP, Freshlime Studios",11-04-2024,"Biographical, Sports",Amit Ravindernath Sharma,181
Dhanak,2016,Hindi,0.29,"Kukunoor Movies, Drishyam Films",17-06-2016,Drama,Nagesh Kukunoor,116
Dongri Ka Raja,2016,Hindi,0.27,Filmy Keeda Productions,11-11-2016,Action,Hadi Ali Abrar,139
Chicken Curry Law,2019,Hindi,127.1273,PAN India,09-08-2019,"Drama, Crime, Social",Shekhar Sirrinn,127
Heropanti 2,2022,Hindi,6.5,Nadiadwala Grandson Entertainment,29-04-2022,"Action, Romance",Ahmed Khan,142
Siya,2022,Hindi,0.2,"Panorama Studios, Drishyam Films",16-09-2022,"Drama, Social",Manish Mundra,109
Vikram Vedha,2022,Hindi,10.58,"T-Series Super Cassettes Industries Ltd., A Friday Filmworks, Reliance Entertainment, Jio Studios, Y Not Studios",30-09-2022,"Action, Thriller","Gayatri, Pushkar",159
Manmarziyaan,2018,Hindi,3.52,"Eros International, Phantom Films, Colour Yellow Production",14-09-2018,"Drama, Romance",Anurag Kashyap,157
A Flying Jatt,2016,Hindi,7.1,Balaji Motion Pictures,25-08-2016,Action,Remo DSouza,151
Veerey Ki Wedding,2018,Hindi,121.1213,Panorama Studios,02-03-2018,"Comedy, Drama",Asshu Trikha,121
Toilet: Ek Prem Katha,2017,Hindi,20.12,"Abundantia Entertainment, Plan C Studios, Kriaj Entertainment Pvt. Ltd., Cape of Good Films, Viacom 18 Motion Pictures",11-08-2017,"Comedy, Drama",Shree Narayan Singh,155
War,2019,Hindi,53.35,Yash Raj Films,02-10-2019,"Action, Thriller",Siddharth Anand,156
Airlift,2016,Hindi,20.22,"T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd, Cape of Good Films, Crouching Tiger Motion Pictures",22-01-2016,"Drama, Historical",Raja Krishna Menon,124
Chakallaspur,2017,Hindi,0.001,Kiran Jaiswal Production,26-05-2017,Drama,Rajnish Jaiswal,124
31st October,2016,Hindi,0.1,Magical Dreams Productions Pvt Ltd,21-10-2016,"Drama, Period",Shivaji Lotan Patil,109
Tubelight,2017,Hindi,21.15,Salman Khan Films,23-06-2017,Drama,Kabir Khan,136
Fighter,2024,Hindi,24.6,"Marflix Pictures, Viacom18 Studio",25-01-2024,"Action, Patriotic",Siddharth Anand,166
Hai Apna Dil Toh Awara,2016,Hindi,0.04,"Anikaa Films, Monjoy Joy Mukerji Productions",05-08-2016,Comedy,Monjoy Joy Mukerji,127
Paltan,2018,Hindi,1.28,"Zee Studios, J P Films",07-09-2018,Drama,J P Dutta,154
Commando 2,2017,Hindi,5.14,"Reliance Entertainment, Pen India Ltd., Sunshine Pictures Pvt. Ltd",03-03-2017,"Action, Drama",Deven Bhojani,123
Housefull 5,2025,Hindi,24.35,Nadiadwala Grandson Entertainment,06-06-2025,"Comedy, Thriller",Tarun Mansukhani,165
Dhadak,2018,Hindi,8.71,"Dharma Productions, Zee Studios",20-07-2018,"Romance, Drama",Shashank Khaitan,138
Aiyaary,2018,Hindi,3.36,"Reliance Entertainment, Plan C Studios, Jayantilal Gada, A Friday Filmworks",16-02-2018,"Action, Drama, Thriller",Neeraj Pandey,160
Dukaan,2024,Hindi,0.18,"Waveband Production, Kalamkaar Picture Productions",05-04-2024,"Social, Drama","Garima Wahal, Siddharth Singh",122
Hamid,2019,Hindi,0.01,"Saregama India Limited, Yoodlee Films",15-03-2019,Social,Aijaz Khan,108
Phule,2025,Hindi,0.25,"Zee Studios, Dancing Shiva Productions, Kingsmen Productions",25-04-2025,"Biographical, Drama",Ananth Narayan Mahadevan,129
Hope Aur Hum,2018,Hindi,0.12,"PVR Pictures, Thumbnail Pictures",11-05-2018,Comedy,Sudip Bandyopadhyay,96
The Fakir of Venice,2019,Hindi,0.04,"Phat Phish Productions, October Films LLP",08-02-2019,Drama,Anand Surapur,87
Heer Express,2025,Hindi,0.35,"A Merry Go Round Studios, Tulip Entertainment, Divisa Entertainment, Creative Strokes Group",12-09-2025,"Comedy, Drama",Umesh Shukla,142
Moh Maya Money,2016,Hindi,0.25,Delhi Talkies,25-11-2016,Drama,Munish Bhardwaj,109
Jogira Sara Ra Ra,2023,Hindi,0.3,Touchwood Multimedia Creations,26-05-2023,"Romance, Comedy",Kushan Nandy,121
Running Shaadi,2017,Hindi,0.15,"Crouching Tiger Motion Pictures, Rising Sun Films Production",17-02-2017,"Romance, Comedy",Amit Roy,114
Photograph,2019,Hindi,0.25,"Amazon Studios, Filmscience, The Match Factory, Poetic License, KNM Production, Skywalk Films",15-03-2019,"Drama, Romance",Ritesh Batra,111
Joram,2023,Hindi,0.4,Zee Studios,08-12-2023,"Action, Thriller",Devashish Makhija,121
Waarrior Savitri,2016,Hindi,0.01,"Jai Viratra Entertainment Ltd, Dr. Bob's Production",25-08-2016,"Action, Drama",Param Gill,123
Fraud Saiyaan,2019,Hindi,0.11,"Prakash Jha Productions, Drama King Entertainment",18-01-2019,Comedy,Sourabh Shrivastava,109
Jab Harry Met Sejal,2017,Hindi,15.25,Red Chillies Entertainment,04-08-2017,"Drama, Romance",Imtiaz Ali,143
Rukh,2017,Hindi,0.1,"Eros International, Drishyam Films",27-10-2017,Thriller,Atanu Mukharjee,106
Yeh Hai India,2019,Hindi,0.001,DLB Films Pvt Ltd,24-05-2019,Drama,Lom Harsh,128
Mantostaan,2017,Hindi,0.07,"Rahat Kazmi Films, Tariq Khan Production, Aditya Pratap Singh Entertainment, Zeba Sajid Films",05-05-2017,"Drama, Biographical, Historical, Period",Rahat Kazmi,92
Aligarh,2016,Hindi,0.31,"Karma Pictures, Eros International",26-02-2016,"Social, Drama",Hansal Mehta,120
Tiger 3,2023,Hindi,44.5,Yash Raj Films,12-11-2023,"Action, Thriller",Maneesh Sharma,153
