Title,Year,Language
A Gentleman,2017,Hindi
Article 15,2019,Hindi
Jaat,2025,Hindi
Bachchhan Paandey,2022,Hindi
Ye Mard Bechara,2021,Hindi
Blackout,2024,Hindi
Gangubai Kathiawadi,2022,Hindi
India's Most Wanted,2019,Hindi
Darling Don't Cheat,2016,Hindi
Kapkapiii,2025,Hindi
Jalebi,2018,Hindi
Love Hostel,2022,Hindi
Article 370,2024,Hindi
Dashmi,2024,Hindi
Fever,2016,Hindi
Rangoon,2017,Hindi
A Scandall,2016,Hindi
Stree,2018,Hindi
Aakhir Kab Tak,2016,Hindi
Naam Shabana,2017,Hindi
Shubh Mangal Saavdhan,2017,Hindi
Riwaj,2025,Hindi
Thank God,2022,Hindi
Badrinath Ki Dulhania,2017,Hindi
Qarib Qarib Singlle,2017,Hindi
Chhota Bheem and the Curse of Damyaan,2024,Hindi
Rocky Aur Rani Kii Prem Kahaani,2023,Hindi
Batti Gul Meter Chalu,2018,Hindi
Helmet,2021,Hindi
Shab,2017,Hindi
Murder Mubarak,2024,Hindi
Shehzada,2023,Hindi
Tiku Weds Sheru,2023,Hindi
Kadvi Hawa,2017,Hindi
377 Ab Normal,2019,Hindi
Nikita Roy,2025,Hindi
Fan,2016,Hindi
Matto Ki Saikil,2022,Hindi
Pushtaini,2024,Hindi
Happi,2019,Hindi
The House Next Door,2017,Hindi
Satellite Shankar,2019,Hindi
Saand Ki Aankh,2019,Hindi
One Day: Justice Delivered,2019,Hindi
Jagga Jasoos,2017,Hindi
Hurdang,2022,Hindi
Luv You Shankar,2024,Hindi
Savi,2024,Hindi
Khel Toh Ab Shuru Hoga,2016,Hindi
Judaa Hoke Bhi,2022,Hindi
Bhavesh Joshi Superhero,2018,Hindi
Junglee,2019,Hindi
Sooryavanshi,2021,Hindi
Ghoomer,2023,Hindi
Fateh,2025,Hindi
Kaafiron Ki Namaaz,2016,Hindi
Batla House,2019,Hindi
Khandaani Shafakhana,2019,Hindi
Middle Class Love,2022,Hindi
Aksar 2,2017,Hindi
Gumraah,2023,Hindi
Ajab Singh Ki Gajab Kahani,2017,Hindi
Dunki,2023,Hindi
Meri Pyaari Bindu,2017,Hindi
Aseq,2023,Hindi
Baaghi 2,2018,Hindi
Swatantrya Veer Savarkar,2024,Hindi
Direct Ishq,2016,Hindi
